failed_sites,error_code
vindicosuite.com,Error: can't parse html for any pages between these dates for vindicosuite.com
facdn.com,Error: can't parse html for any pages between these dates for facdn.com
crwdcntrl.net,Error: no archived results for this url in between these dates: crwdcntrl.net
dmcpmtrack.com,"Error: Archive doesn't exist, HTTP code: 403 for dmcpmtrack.com"
info.com,"Error: Archive doesn't exist, HTTP code: 403 for info.com"
cpaclicks.com,Error: can't parse html for any pages between these dates for cpaclicks.com
idxjmp.com,"Error: Archive doesn't exist, HTTP code: 403 for idxjmp.com"
undergroundcashmachine.com,Error: no archived results for this url in between these dates: undergroundcashmachine.com
onlinecashsystemsecrets.com,Error: can't parse html for any pages between these dates for onlinecashsystemsecrets.com
kerchbiz.info,Error: no archived results for this url in between these dates: kerchbiz.info
wikkit.org,Error: no archived results for this url in between these dates: wikkit.org
addroi.com,Error: no archived results for this url in between these dates: addroi.com
securesiteorders.net,Error: can't parse html for any pages between these dates for securesiteorders.net
sobelabsdirect.com,Error: no archived results for this url in between these dates: sobelabsdirect.com
theinstantwealthbuilder.com,Error: no archived results for this url in between these dates: theinstantwealthbuilder.com
homebizstartupkit.com,Error: no archived results for this url in between these dates: homebizstartupkit.com
onlinebusinesscashsecrets.com,Error: no archived results for this url in between these dates: onlinebusinesscashsecrets.com
identprtct.com,Error: no archived results for this url in between these dates: identprtct.com
securedorderweb.com,Error: no archived results for this url in between these dates: securedorderweb.com
internetprofitsuccesssystems.com,Error: can't parse html for any pages between these dates for internetprofitsuccesssystems.com
burnrxweightloss.com,Error: no archived results for this url in between these dates: burnrxweightloss.com
recessionproofpaychecks.com,Error: no archived results for this url in between these dates: recessionproofpaychecks.com
mybrightteeth.com,Error: no archived results for this url in between these dates: mybrightteeth.com
roatracker.com,Error: no archived results for this url in between these dates: roatracker.com
purecleanse360.com,Error: no archived results for this url in between these dates: purecleanse360.com
